Date,Time,Flight Number,Airlines Name,Airport Name,Terminal,Boarding info,Status
04/04/2024,19:45,QG526,Citilink,Jakarta (CGK),T3,,On Schedule
04/04/2024,19:50,SQ121,Singapore Airlines,Kuala Lumpur (KUL),,,On Schedule
04/04/2024,19:50,SQ421,Singapore Airlines,Mumbai (BOM),,,On Schedule
04/04/2024,19:50,SQ831,Singapore Airlines,Shanghai (PVG),,,On Schedule
04/04/2024,19:50,SQ961,Singapore Airlines,Jakarta (CGK),,,On Schedule
04/04/2024,19:55,8M233,Myanmar Airways International,Yangon (RGN),T1,,On Schedule
04/04/2024,19:55,KE643,Korean Air,Seoul (ICN),T4,,On Schedule
04/04/2024,19:55,SQ927,Singapore Airlines,Surabaya (SUB),,,On Schedule
04/04/2024,19:55,TR675,Scoot,Chiang Mai (CNX),T1,,On Schedule
04/04/2024,20:00,AK719,AirAsia,Kuala Lumpur (KUL),T4,,On Schedule
04/04/2024,20:00,GF166,Gulf Air,Bangkok (Suvarnabhumi) (BKK),T3,,On Schedule
04/04/2024,20:05,FD351,Thai AirAsia,Bangkok (Don Mueang) (DMK),T4,,On Schedule
04/04/2024,20:10,MU565,China Eastern Airlines,Shanghai (PVG),T3,,On Schedule
04/04/2024,20:15,PR501,Philippine Airlines,Manila (MNL),T1,,Re-timed
04/04/2024,20:20,UK107,Vistara,Mumbai (BOM),T3,,On Schedule
04/04/2024,20:25,3K516,Jetstar Asia,Bangkok (Suvarnabhumi) (BKK),T4,,On Schedule
04/04/2024,20:25,MH607,Malaysia Airlines,Kuala Lumpur (KUL),T2,,On Schedule
04/04/2024,20:25,TR303,Scoot,Ho Chi Minh City (SGN),T1,,On Schedule
04/04/2024,20:25,TR469,Scoot,Kuala Lumpur (KUL),T1,,On Schedule
04/04/2024,20:30,BI423,Royal Brunei Airlines,Brunei (BWN),T2,,On Schedule
04/04/2024,20:30,SQ173,Singapore Airlines,Da Nang (DAD),,,On Schedule
04/04/2024,20:30,SQ919,Singapore Airlines,Manila (MNL),,,On Schedule
04/04/2024,20:30,TR899,Scoot,Tokyo (Narita) (NRT),T1,,On Schedule
04/04/2024,20:35,CX711,Cathay Pacific,Hong Kong (HKG),T4,,On Schedule
04/04/2024,20:35,ID7159,Batik Air,Jakarta (CGK),T3,,On Schedule
04/04/2024,20:40,OD805,Batik Air Malaysia,Kuala Lumpur (KUL),T3,,On Schedule
04/04/2024,20:45,AK721,AirAsia,Kuala Lumpur (KUL),T4,,On Schedule
04/04/2024,20:45,QR944,Qatar Airways,Doha (DOH),T1,,On Schedule
04/04/2024,20:45,SQ236,Singapore Airlines,Brisbane (BNE),,,On Schedule
04/04/2024,20:50,IX684,Air India Express,Madurai (IXM),T2,,On Schedule
04/04/2024,20:55,SQ963,Singapore Airlines,Jakarta (CGK),,,On Schedule
04/04/2024,21:00,9C8549,Spring Airlines,Shanghai (PVG),T4,,On Schedule
04/04/2024,21:00,AK1729,AirAsia,Penang (PEN),T4,,On Schedule
04/04/2024,21:00,SQ286,Singapore Airlines,Auckland (AKL),,,On Schedule
